process,pid,timestamp,cpu_percent,mem_mb
fatigue_comutex,2092130,1779025824.633,92.80,5.16
fatigue_comutex,2092130,1779025825.635,92.80,5.16
fatigue_comutex,2092130,1779025826.637,91.80,5.16
fatigue_comutex,2092130,1779025827.645,93.30,5.16
fatigue_comutex,2092130,1779025828.656,92.90,5.16
fatigue_comutex,2092130,1779025829.658,93.80,5.16
fatigue_comutex,2092130,1779025830.660,93.80,5.16
fatigue_comutex,2092130,1779025831.665,90.60,5.16
fatigue_comutex,2092130,1779025832.667,93.80,5.16
fatigue_comutex,2092130,1779025833.681,91.80,5.16
fatigue_comutex,2092130,1779025834.692,93.90,5.16
fatigue_comutex,2092130,1779025835.702,93.10,5.16
fatigue_comutex,2092130,1779025836.704,91.80,5.16
fatigue_comutex,2092130,1779025837.706,94.90,5.16
fatigue_comutex,2092130,1779025838.711,93.50,5.16
fatigue_comutex,2092130,1779025839.713,98.90,5.16
fatigue_corwmutex,2092150,1779025802.445,0.00,4.32
fatigue_corwmutex,2092150,1779025803.447,0.00,0.00
fatigue_std_uniquelock,2092159,1779025802.445,0.00,5.86
fatigue_std_uniquelock,2092159,1779025803.447,6.00,12.30
fatigue_std_uniquelock,2092159,1779025804.464,6.90,12.30
fatigue_std_uniquelock,2092159,1779025805.476,6.90,12.30
fatigue_std_uniquelock,2092159,1779025806.493,5.90,12.30
fatigue_std_uniquelock,2092159,1779025807.494,6.00,12.30
fatigue_std_uniquelock,2092159,1779025808.510,6.90,12.30
fatigue_std_uniquelock,2092159,1779025809.526,6.90,12.30
fatigue_std_uniquelock,2092159,1779025810.536,6.90,12.30
fatigue_std_uniquelock,2092159,1779025811.549,5.90,12.30
fatigue_std_uniquelock,2092159,1779025812.556,7.00,12.30
fatigue_std_uniquelock,2092159,1779025813.563,6.00,12.30
fatigue_std_uniquelock,2092159,1779025814.566,7.00,12.30
fatigue_std_uniquelock,2092159,1779025815.573,7.00,12.30
fatigue_std_uniquelock,2092159,1779025816.577,6.00,12.30
fatigue_std_uniquelock,2092159,1779025817.580,7.00,12.30
fatigue_std_uniquelock,2092159,1779025818.582,7.00,12.30
fatigue_std_uniquelock,2092159,1779025819.589,6.00,12.30
fatigue_std_uniquelock,2092159,1779025820.596,7.00,12.30
